 Five Year Age Groups and Sex for Custom Region - Bangladesh,,,,,,,,,
Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
Bangladesh,2016,0-4,14330791,7287474,7043317,9.2,9.5,8.9,103.5
Bangladesh,2016,5-9,14572715,7407730,7164985,9.3,9.6,9,103.4
Bangladesh,2016,10-14,15248549,7761360,7487189,9.8,10.1,9.5,103.7
Bangladesh,2016,15-19,15945007,8053325,7891682,10.2,10.5,10,102
Bangladesh,2016,20-24,14563991,7208038,7355953,9.3,9.4,9.3,98
Bangladesh,2016,25-29,13235700,6388078,6847622,8.5,8.3,8.6,93.3
Bangladesh,2016,30-34,12002588,5733853,6268735,7.7,7.4,7.9,91.5
Bangladesh,2016,35-39,10700475,5087591,5612884,6.9,6.6,7.1,90.6
Bangladesh,2016,40-44,9926805,4681269,5245536,6.4,6.1,6.6,89.2
Bangladesh,2016,45-49,8502244,4112750,4389494,5.4,5.3,5.5,93.7
Bangladesh,2016,50-54,7148975,3561709,3587266,4.6,4.6,4.5,99.3
Bangladesh,2016,55-59,5846335,2902567,2943768,3.7,3.8,3.7,98.6
Bangladesh,2016,60-64,4729315,2330261,2399054,3,3,3,97.1
Bangladesh,2016,65-69,3645467,1778332,1867135,2.3,2.3,2.4,95.2
Bangladesh,2016,70-74,2656467,1276504,1379963,1.7,1.7,1.7,92.5
Bangladesh,2016,75-79,1718373,815520,902853,1.1,1.1,1.1,90.3
Bangladesh,2016,80-84,931182,423168,508014,0.6,0.5,0.6,83.3
Bangladesh,2016,85-89,369881,157018,212863,0.2,0.2,0.3,73.8
Bangladesh,2016,90-94,97281,37814,59467,0.1,0,0.1,63.6
Bangladesh,2016,95-99,13794,4879,8915,0,0,0,54.7
Bangladesh,2016,100+,947,322,625,0,0,0,51.5