Division,zl,dv
Barisal,4,1
Barisal,6,1
Barisal,9,1
Barisal,42,1
Barisal,78,1
Barisal,79,1
Chittagong,3,2
Chittagong,12,2
Chittagong,13,2
Chittagong,15,2
Chittagong,19,2
Chittagong,22,2
Chittagong,30,2
Chittagong,46,2
Chittagong,51,2
Chittagong,75,2
Chittagong,84,2
Dhaka,26,3
Dhaka,29,3
Dhaka,33,3
Dhaka,35,3
Dhaka,39,3
Dhaka,48,3
Dhaka,54,3
Dhaka,56,3
Dhaka,59,3
Dhaka,61,3
Dhaka,67,3
Dhaka,68,3
Dhaka,72,3
Dhaka,82,3
Dhaka,86,3
Dhaka,89,3
Dhaka,93,3
Khulna,1,4
Khulna,18,4
Khulna,41,4
Khulna,44,4
Khulna,47,4
Khulna,50,4
Khulna,55,4
Khulna,57,4
Khulna,65,4
Khulna,87,4
Rajshahi,10,5
Rajshahi,70,5
Rajshahi,38,5
Rajshahi,64,5
Rajshahi,69,5
Rajshahi,76,5
Rajshahi,81,5
Rajshahi,88,5
Rangpur,27,6
Rangpur,32,6
Rangpur,49,6
Rangpur,52,6
Rangpur,73,6
Rangpur,77,6
Rangpur,85,6
Rangpur,94,6
Sylhet,36,7
Sylhet,58,7
Sylhet,90,7
Sylhet,91,7